,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
147,148,Devin Brown,NOH,30,3,0,3,10.9,2.7,1.0,2.7,37.5,0.0,1.3,0.0,0.7,0.7,100.0,0.7,1.0,1.7,0.0,1.0,0.0,0.0,0.7,3.7,0,0,-8.7
148,148,Donyell Marshall,PHI,36,6,2,4,8.4,2.7,1.0,2.7,37.5,0.7,1.8,36.4,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.3,0.2,0.2,1.5,4.7,0,0,0.8
149,148,Jarron Collins,UTA,30,3,1,2,11.8,2.7,0.3,1.7,20.0,0.0,0.0,0.0,2.0,2.7,75.0,1.3,2.0,3.3,0.3,0.0,0.3,0.0,3.0,8.2,0,0,0.0
150,151,Kurt Thomas,SAS,36,5,1,4,16.0,2.6,1.0,2.2,45.5,0.0,0.0,0.0,0.6,0.8,75.0,0.8,3.8,4.6,0.4,0.8,0.2,0.4,2.6,9.7,0,0,-7.6
151,152,Ryan Hollins,DAL,24,9,4,5,9.3,2.4,0.9,1.6,57.1,0.0,0.0,0.0,0.7,1.1,60.0,1.0,1.7,2.7,0.1,0.4,0.1,0.4,2.4,7.0,0,0,-3.1
152,153,Tony Battie,ORL,33,21,10,11,6.1,2.1,1.0,2.1,46.7,0.0,0.0,0.0,0.1,0.2,60.0,0.3,0.6,1.0,0.1,0.1,0.0,0.1,0.6,3.8,0,0,-0.4
153,154,Sasha Pavlovic,CLE,25,11,9,2,8.3,2.1,0.9,1.8,50.0,0.2,0.7,25.0,0.1,0.3,33.3,0.1,1.3,1.4,0.4,0.3,0.4,0.0,0.8,5.1,0,0,-0.3
154,155,Josh Powell,LAL,26,14,10,4,5.2,2.1,0.8,1.9,42.3,0.1,0.1,100.0,0.4,0.4,100.0,0.5,0.7,1.2,0.3,0.3,0.0,0.1,0.6,3.9,0,0,-2.3
155,156,Julian Wright,NOH,22,4,0,4,8.1,2.0,0.8,1.8,42.9,0.0,0.0,0.0,0.5,1.0,50.0,0.0,1.5,1.5,0.5,0.3,0.0,0.3,1.5,5.1,0,0,-6.8
156,156,Nicolas Batum,POR,20,6,2,4,10.5,2.0,0.8,1.5,55.6,0.3,0.7,50.0,0.0,0.0,0.0,0.2,0.3,0.5,0.2,0.5,0.2,0.3,1.2,3.9,0,0,-4.2
157,156,Walter Herrmann,DET,30,4,0,4,5.5,2.0,0.8,2.0,37.5,0.5,1.0,50.0,0.0,0.0,0.0,0.3,0.0,0.3,0.5,0.0,0.3,0.0,0.8,3.8,0,0,1.8
158,159,Gerald Green,DAL,23,6,1,5,4.3,1.8,0.7,2.3,28.6,0.2,0.8,20.0,0.3,0.7,50.0,0.0,0.3,0.3,0.0,0.3,0.2,0.0,0.7,2.4,0,0,-1.0
159,159,Royal Ivey,PHI,27,6,2,4,7.4,1.8,0.5,1.8,27.3,0.3,1.2,28.6,0.5,0.7,75.0,0.2,0.5,0.7,0.0,0.0,0.5,0.0,1.0,4.1,0,0,0.0
160,161,Brian Cook,HOU,28,6,2,4,5.3,1.7,0.7,2.5,26.7,0.3,1.5,22.2,0.0,0.0,0.0,0.5,1.5,2.0,0.5,0.7,0.3,0.2,0.7,5.7,0,0,-2.8
161,161,Joel Anthony,MIA,26,6,2,4,14.7,1.7,0.7,0.8,80.0,0.0,0.0,0.0,0.3,0.3,100.0,1.5,1.7,3.2,0.3,0.2,0.0,1.2,1.5,9.3,0,0,4.5
162,163,Chris Quinn,MIA,25,5,2,3,4.9,1.6,0.6,1.4,42.9,0.0,0.2,0.0,0.4,0.4,100.0,0.0,0.2,0.2,1.0,0.4,0.4,0.0,0.2,4.1,0,0,2.2
163,164,Solomon Jones,ATL,24,9,4,5,8.6,1.6,0.7,1.3,50.0,0.0,0.0,0.0,0.2,0.2,100.0,1.0,0.8,1.8,0.2,0.1,0.1,0.0,1.0,4.2,0,0,-3.6
