Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Grant Williams,PF,0.9,1.5,57.7,0.6,1.0,58.8,0.4,0.6,70.0,0.3,0.5,55.6,1.808,0.77,17,0.0,10.0,2.8,0.4,1.1,1.5,0.4,0.1,0.3,0.2,1.9,1.5,10.66,BOS
Semi Ojeleye,PF,0.5,2.2,25.0,0.4,1.8,21.7,0.2,0.2,100.0,0.2,0.4,40.0,0.75,0.34,13,0.0,9.4,1.6,0.2,0.8,0.9,0.1,0.2,0.0,0.1,0.7,1.0,1.65,BOS
Tacko Fall,C,0.5,0.5,100.0,0.0,0.0,0.0,0.5,1.0,50.0,0.5,0.5,100.0,3.0,1.0,2,0.0,1.5,1.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,39.99,BOS
Romeo Langford,SG,0.6,1.4,40.0,0.1,0.3,50.0,0.1,0.3,50.0,0.4,1.1,37.5,1.0,0.45,7,0.0,6.6,1.4,0.0,0.4,0.4,0.3,0.1,0.0,0.3,0.6,1.0,2.72,BOS
Carsen Edwards,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,BOS
Vincent Poirier,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,inf,44.67,BOS
Tremont Waters,G,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,0.58,BOS
Caris LeVert,SG,6.8,18.3,37.0,2.3,5.3,42.9,4.5,6.3,72.0,4.5,13.0,34.6,1.11,0.43,4,4.0,35.0,20.3,2.0,4.0,6.0,9.5,1.3,0.3,3.3,1.8,2.9,17.17,BKN
Joe Harris,SF,6.0,11.5,52.2,3.5,6.0,58.3,1.0,2.0,50.0,2.5,5.5,45.5,1.435,0.67,2,2.0,36.0,16.5,1.0,9.0,10.0,1.0,0.5,0.0,1.5,4.5,0.7,12.73,BKN
Timothe Luwawu-Cabarrot,SG,5.0,14.8,33.9,3.3,9.8,33.3,2.8,3.0,91.7,1.8,5.0,35.0,1.085,0.45,4,3.0,32.8,16.0,0.3,3.5,3.8,1.5,0.8,0.0,2.0,3.5,0.8,6.53,BKN
